"","released","colour","year","age","sex","employed","citizen","checks"
"4563","Yes","White",1999,27,"Male","Yes","Yes",1
"3097","Yes","White",1997,16,"Male","Yes","No",0
"2203","Yes","White",2001,31,"Male","No","Yes",0
"4086","Yes","White",1999,27,"Male","Yes","Yes",3
"324","Yes","White",1998,27,"Male","Yes","Yes",0
"4666","Yes","White",1997,21,"Male","Yes","No",0
"5004","Yes","White",1998,20,"Male","Yes","Yes",2
"2486","Yes","White",2002,27,"Male","No","Yes",4
"4300","Yes","Black",1998,30,"Male","Yes","Yes",0
"1020","No","Black",2001,22,"Male","No","No",4
"4069","Yes","White",1999,22,"Male","Yes","Yes",0
"3929","Yes","White",1997,19,"Male","Yes","No",0
"2611","Yes","White",1997,21,"Male","Yes","Yes",3
"457","No","White",1999,21,"Male","Yes","Yes",3
"3723","Yes","Black",1997,27,"Male","Yes","Yes",0
"1313","Yes","White",2001,30,"Male","Yes","No",0
"1098","Yes","White",2001,25,"Male","Yes","Yes",1
"4013","Yes","White",2001,18,"Male","Yes","Yes",0
"483","Yes","White",1998,18,"Female","Yes","Yes",0
"3578","Yes","Black",2000,19,"Male","Yes","Yes",2
"4654","Yes","White",2000,37,"Male","Yes","Yes",0
"744","Yes","White",2001,54,"Male","Yes","Yes",3
"1610","Yes","Black",2000,40,"Male","Yes","No",2
"2622","Yes","White",2001,36,"Male","Yes","Yes",0
"4550","Yes","Black",2000,19,"Male","Yes","Yes",2
"781","Yes","White",1997,17,"Male","Yes","No",5
"2707","No","White",1999,18,"Male","Yes","Yes",4
"2822","Yes","White",2001,19,"Male","Yes","Yes",0
"4476","Yes","White",2000,19,"Male","Yes","Yes",3
"3935","Yes","White",2000,25,"Male","No","Yes",0
"2908","Yes","White",2001,20,"Male","Yes","Yes",1
"4148","Yes","White",1999,22,"Male","Yes","Yes",0
"1124","No","Black",1999,27,"Male","Yes","Yes",0
"544","Yes","Black",2001,28,"Male","Yes","Yes",1
"2127","Yes","White",2002,21,"Male","Yes","Yes",2
"4935","Yes","White",2002,19,"Male","Yes","Yes",0
"4687","No","White",2002,25,"Male","No","Yes",2
"5197","Yes","White",2000,38,"Male","Yes","No",2
"3522","Yes","Black",1999,23,"Male","Yes","Yes",0
"156","No","White",1999,39,"Male","No","Yes",4
"3470","Yes","White",2000,18,"Male","Yes","Yes",0
"996","Yes","White",2000,18,"Male","Yes","Yes",0
"70","Yes","Black",1997,30,"Female","Yes","Yes",2
"2967","Yes","White",2001,40,"Male","Yes","Yes",0
"2719","Yes","White",2000,17,"Male","Yes","Yes",3
"2552","Yes","White",1998,17,"Male","No","Yes",1
"2583","Yes","White",2000,17,"Female","Yes","Yes",1
"1717","Yes","White",1997,17,"Male","Yes","Yes",2
"5000","No","White",2000,15,"Male","Yes","Yes",4
"2754","Yes","White",2001,33,"Male","Yes","Yes",4
"213","Yes","White",1999,23,"Male","Yes","Yes",0
"2532","Yes","White",1998,41,"Male","No","Yes",0
"1965","Yes","White",2000,30,"Male","Yes","Yes",3
"471","Yes","Black",1999,18,"Male","No","No",1
"1716","Yes","White",1999,31,"Male","Yes","Yes",4
"1445","Yes","White",1998,24,"Male","Yes","Yes",2
"4083","Yes","White",2002,21,"Male","Yes","Yes",3
"3685","No","Black",2000,21,"Male","No","No",3
"59","Yes","White",1998,25,"Male","Yes","Yes",0
"3796","No","White",2001,32,"Male","No","Yes",3
"3719","No","White",1998,19,"Male","Yes","Yes",0
"286","Yes","White",2001,29,"Male","Yes","Yes",2
"1913","Yes","White",1998,34,"Male","Yes","Yes",3
"1940","Yes","White",1997,20,"Male","Yes","No",4
"962","Yes","White",1998,32,"Male","Yes","Yes",3
"2259","No","White",2002,24,"Female","Yes","Yes",0
"4936","Yes","Black",2001,23,"Male","No","Yes",3
"2106","Yes","White",2000,16,"Male","Yes","Yes",3
"1308","Yes","White",2001,20,"Male","Yes","Yes",1
"698","Yes","White",2001,16,"Male","No","Yes",4
"4677","Yes","White",1998,28,"Male","Yes","Yes",3
"2739","Yes","White",2001,20,"Male","Yes","Yes",0
"2829","Yes","White",1998,15,"Male","Yes","Yes",3
"4839","No","White",2001,25,"Male","Yes","No",2
"1955","Yes","White",2000,15,"Male","Yes","Yes",1
"2856","Yes","Black",1998,35,"Male","No","Yes",2
"68","Yes","White",1999,19,"Male","Yes","Yes",0
"1968","Yes","Black",1998,17,"Male","Yes","Yes",2
"2863","Yes","White",2000,19,"Male","Yes","Yes",2
"1166","Yes","White",2000,18,"Male","Yes","Yes",0
"859","No","White",2001,19,"Male","No","Yes",4
"4186","Yes","Black",1997,26,"Male","Yes","Yes",2
"3790","No","White",1999,20,"Male","Yes","Yes",0
"3079","Yes","Black",1999,34,"Male","No","Yes",4
"4026","Yes","Black",1999,19,"Male","Yes","Yes",3
"2711","No","Black",2000,17,"Male","Yes","Yes",3
"1300","Yes","White",1998,25,"Female","Yes","Yes",0
"4588","Yes","White",2001,36,"Male","Yes","Yes",0
"4493","Yes","White",2000,29,"Male","Yes","Yes",1
"257","Yes","White",2001,19,"Male","Yes","Yes",3
"956","Yes","White",2001,18,"Male","Yes","Yes",1
"1215","Yes","White",2001,21,"Male","No","Yes",4
"5198","Yes","White",2001,16,"Male","Yes","Yes",0
"737","Yes","White",1999,20,"Male","Yes","No",0
"1600","Yes","White",2000,22,"Male","Yes","Yes",0
"2301","Yes","White",2000,21,"Male","Yes","Yes",4
"3350","Yes","White",1999,24,"Male","Yes","Yes",0
"1839","Yes","White",1999,47,"Male","Yes","Yes",0
"197","Yes","White",1999,24,"Male","Yes","No",0
"4020","Yes","Black",1999,21,"Male","Yes","Yes",0
"1273","Yes","White",1997,21,"Male","No","Yes",0
"2849","Yes","Black",1997,27,"Male","No","No",1
"3125","Yes","Black",2001,18,"Male","No","Yes",1
"2299","Yes","White",2001,41,"Male","Yes","Yes",3
"4211","Yes","White",2001,23,"Male","Yes","Yes",1
"4337","Yes","White",1999,25,"Male","Yes","Yes",1
"1576","Yes","Black",1997,13,"Male","Yes","No",2
"4903","Yes","Black",2000,19,"Male","Yes","Yes",3
"3947","Yes","White",1999,15,"Male","Yes","Yes",3
"2314","Yes","White",2000,24,"Male","Yes","Yes",2
"1994","Yes","White",2001,14,"Male","Yes","Yes",0
"2689","Yes","Black",2001,18,"Male","Yes","Yes",0
"638","Yes","White",1998,25,"Male","No","Yes",0
"4988","Yes","White",2000,24,"Male","No","Yes",3
"475","Yes","White",1998,21,"Male","Yes","Yes",2
"783","Yes","White",1997,16,"Female","Yes","No",3
"1854","Yes","Black",1999,20,"Male","Yes","No",0
"3446","Yes","White",2000,29,"Female","Yes","Yes",0
"4994","Yes","White",2000,18,"Male","Yes","Yes",2
"244","Yes","Black",1998,26,"Male","Yes","Yes",3
"4001","Yes","White",2000,25,"Female","Yes","Yes",2
"2984","Yes","Black",2001,15,"Male","Yes","Yes",0
"1333","Yes","White",1999,28,"Male","Yes","Yes",0
"5073","Yes","White",1998,35,"Male","Yes","Yes",3
"4786","Yes","White",2001,28,"Male","No","Yes",2
"2830","No","White",2000,15,"Female","Yes","Yes",1
"2919","Yes","White",1999,22,"Female","Yes","Yes",2
"692","Yes","Black",2000,23,"Male","Yes","No",0
"994","Yes","White",1997,16,"Male","Yes","Yes",0
"3238","Yes","White",2000,20,"Male","Yes","Yes",3
"2389","Yes","Black",1998,24,"Male","Yes","Yes",1
"1296","Yes","White",1999,43,"Male","Yes","Yes",0
"2128","No","White",1999,19,"Female","No","Yes",2
"2282","Yes","Black",1999,25,"Male","No","Yes",2
"5067","Yes","Black",2001,31,"Male","Yes","Yes",2
"345","Yes","White",1998,23,"Male","Yes","Yes",0
"2195","Yes","White",1998,17,"Male","Yes","Yes",0
"3560","Yes","White",2002,20,"Male","Yes","Yes",0
"4560","Yes","Black",2001,20,"Male","Yes","Yes",1
"4124","Yes","White",1998,23,"Male","Yes","Yes",0
"1382","Yes","Black",2000,27,"Male","Yes","Yes",3
"4394","Yes","White",2000,22,"Male","Yes","Yes",0
"4801","No","Black",1999,25,"Male","No","Yes",3
"4285","Yes","Black",1998,25,"Male","No","No",2
"2625","Yes","White",2000,16,"Male","Yes","Yes",2
"5177","Yes","White",1997,16,"Male","Yes","No",2
"2674","Yes","White",2000,21,"Male","Yes","Yes",1
"3628","Yes","White",1999,15,"Male","Yes","Yes",0
"3075","Yes","White",2001,46,"Male","No","Yes",1
"5217","Yes","White",1998,21,"Male","Yes","Yes",0
"2912","Yes","White",1997,17,"Male","Yes","Yes",0
"297","Yes","White",2000,26,"Male","Yes","Yes",0
"1609","No","Black",2001,13,"Male","Yes","Yes",2
"2756","Yes","Black",2001,21,"Male","Yes","Yes",3
"1218","Yes","White",1998,41,"Female","Yes","Yes",0
"4832","Yes","White",2000,29,"Male","Yes","Yes",1
"613","Yes","White",2000,41,"Male","Yes","Yes",3
"1950","Yes","Black",2000,21,"Male","Yes","Yes",0
"3408","Yes","White",1999,20,"Male","No","Yes",4
"4871","No","Black",2000,21,"Male","Yes","No",2
"111","No","White",2000,20,"Male","No","Yes",4
"4653","No","White",1998,19,"Male","Yes","Yes",0
"3725","No","Black",1998,23,"Male","Yes","Yes",3
"3387","Yes","White",1998,35,"Male","Yes","Yes",3
"1897","Yes","Black",1997,14,"Male","Yes","Yes",0
"3447","Yes","White",1998,17,"Female","Yes","Yes",3
"1213","Yes","White",2001,24,"Male","Yes","Yes",0
"1874","Yes","White",1998,20,"Female","Yes","Yes",1
"3837","Yes","White",2001,15,"Female","Yes","Yes",0
"2569","Yes","White",1998,16,"Male","Yes","Yes",0
"147","Yes","Black",2000,24,"Female","Yes","Yes",0
"650","Yes","White",2000,24,"Male","Yes","Yes",0
"589","Yes","White",2000,18,"Male","Yes","Yes",0
"4012","No","White",2001,39,"Male","No","Yes",4
"1544","Yes","White",1999,22,"Male","No","Yes",5
"5007","Yes","White",2000,27,"Male","Yes","Yes",0
"4252","Yes","White",1998,15,"Male","Yes","Yes",0
"2595","Yes","Black",2001,20,"Male","Yes","Yes",1
"4255","Yes","White",1999,19,"Male","Yes","Yes",2
"3635","Yes","White",1999,21,"Male","Yes","No",0
"2515","Yes","White",2002,16,"Female","Yes","Yes",0
"1908","Yes","White",2000,34,"Male","Yes","Yes",2
"3124","No","Black",2001,39,"Male","Yes","No",6
"3811","No","White",1997,18,"Female","No","No",0
"2813","Yes","White",1997,23,"Male","No","Yes",3
"3617","Yes","White",1999,20,"Male","No","Yes",2
"4187","No","Black",1998,17,"Male","No","Yes",1
"5189","Yes","White",1999,37,"Male","Yes","Yes",2
"485","Yes","White",1999,19,"Male","Yes","Yes",4
"621","Yes","White",1997,31,"Male","No","No",4
"1495","Yes","White",1998,23,"Male","Yes","Yes",0
"1245","No","White",1998,20,"Male","Yes","Yes",3
"1807","Yes","White",1998,25,"Male","Yes","Yes",3
"3322","Yes","White",1998,18,"Male","Yes","Yes",2
"3483","Yes","Black",1999,22,"Male","Yes","No",3
"1983","Yes","White",2001,15,"Male","Yes","Yes",4
"2232","Yes","Black",2001,24,"Male","No","Yes",1
"2096","Yes","White",1998,18,"Male","Yes","Yes",0
"2288","Yes","White",2000,16,"Male","Yes","Yes",4
"1152","Yes","White",2001,18,"Male","Yes","Yes",0
"3348","Yes","Black",1999,20,"Male","Yes","Yes",2
"2564","Yes","White",2001,30,"Male","No","Yes",1
"2409","Yes","White",1999,17,"Male","Yes","Yes",1
"1088","Yes","White",1999,16,"Male","Yes","Yes",0
"1478","Yes","Black",2000,25,"Male","Yes","No",1
"693","Yes","White",1999,18,"Male","Yes","Yes",1
"2022","Yes","White",1999,17,"Male","Yes","Yes",0
"4723","No","White",2001,37,"Male","Yes","Yes",6
"1091","Yes","White",2000,39,"Male","Yes","Yes",4
"1584","Yes","White",2001,27,"Male","No","Yes",4
"4605","Yes","White",2002,18,"Male","No","Yes",2
"4424","Yes","White",1999,21,"Male","Yes","Yes",1
"2607","Yes","Black",1999,17,"Female","Yes","Yes",3
"3500","Yes","White",1998,27,"Male","Yes","Yes",3
"3794","Yes","White",2000,17,"Male","Yes","Yes",1
"3210","Yes","Black",1997,29,"Male","No","No",2
"743","Yes","Black",2001,20,"Male","Yes","Yes",4
"2423","Yes","White",1999,19,"Male","Yes","Yes",0
"2294","Yes","White",2001,36,"Male","Yes","Yes",1
"4199","Yes","White",1998,16,"Male","Yes","Yes",0
"4004","Yes","White",2001,18,"Male","No","Yes",0
"3866","Yes","White",1997,17,"Male","Yes","No",0
"3216","Yes","White",1997,16,"Male","No","No",0
"3449","Yes","Black",1999,19,"Male","Yes","No",6
"4496","Yes","White",1999,35,"Male","Yes","Yes",0
"3002","Yes","White",1999,23,"Male","Yes","Yes",3
"1510","Yes","White",1999,18,"Male","Yes","Yes",3
"4533","Yes","Black",1997,17,"Female","Yes","No",0
"3633","Yes","White",2001,16,"Male","No","Yes",3
"3700","Yes","White",1998,19,"Male","Yes","Yes",4
"4174","Yes","White",1997,19,"Male","Yes","No",0
"3479","Yes","White",2001,24,"Male","Yes","Yes",1
"4200","Yes","White",1998,17,"Male","Yes","Yes",0
"3243","Yes","White",1998,19,"Male","Yes","Yes",2
"3810","Yes","White",1998,19,"Male","No","Yes",3
"1473","Yes","White",1997,18,"Male","No","No",0
"3426","Yes","White",2000,28,"Female","Yes","Yes",1
"3543","Yes","Black",2001,20,"Male","No","Yes",4
"4574","Yes","White",1999,44,"Female","Yes","Yes",0
"5113","Yes","White",2000,28,"Female","No","Yes",4
"1957","Yes","Black",2001,21,"Male","Yes","Yes",1
"1776","No","White",2000,18,"Male","Yes","Yes",0
"4772","Yes","Black",2001,32,"Male","Yes","No",0
"3019","Yes","Black",1998,32,"Male","Yes","No",3
"4152","Yes","White",1999,41,"Male","Yes","Yes",1
"662","No","White",2000,27,"Male","Yes","Yes",3
"1528","Yes","Black",1999,13,"Male","Yes","Yes",0
"2806","Yes","White",2000,22,"Male","Yes","Yes",1
"3071","Yes","White",1998,41,"Male","Yes","Yes",3
"3582","Yes","White",1998,27,"Female","No","Yes",4
"2466","Yes","White",1999,18,"Female","Yes","Yes",0
"4361","Yes","White",1998,17,"Male","Yes","Yes",3
"1860","No","Black",1999,23,"Male","Yes","Yes",0
"4705","Yes","White",1998,26,"Male","Yes","Yes",2
"2337","Yes","White",1997,19,"Male","Yes","No",0
"1777","Yes","White",2000,20,"Male","No","Yes",1
"1332","Yes","White",1998,28,"Male","Yes","Yes",3
"4358","Yes","White",1998,18,"Male","Yes","Yes",0
"510","No","White",2000,15,"Female","Yes","Yes",4
"2228","Yes","White",2001,23,"Male","Yes","Yes",1
"3680","Yes","Black",1997,16,"Male","Yes","No",0
"3358","Yes","White",1999,19,"Male","Yes","Yes",0
"2112","Yes","White",1999,20,"Male","Yes","Yes",0
"3585","Yes","White",2001,29,"Male","Yes","Yes",3
"241","Yes","White",2001,36,"Male","Yes","Yes",1
"1769","Yes","White",2000,19,"Male","No","Yes",2
"100","Yes","White",1997,21,"Male","Yes","Yes",3
"1876","Yes","Black",2001,19,"Male","Yes","Yes",1
"5167","Yes","Black",2001,32,"Male","Yes","No",0
"1384","Yes","White",1998,15,"Female","Yes","Yes",0
"3839","No","White",2001,16,"Male","No","Yes",3
"2241","No","White",2001,17,"Female","No","Yes",0
"4201","No","White",2001,33,"Male","No","Yes",3
"711","Yes","White",1999,19,"Male","Yes","Yes",1
"4029","Yes","White",1998,24,"Male","Yes","Yes",3
"2064","Yes","Black",1998,36,"Male","No","Yes",4
"208","Yes","White",2000,19,"Male","Yes","Yes",0
"4904","Yes","White",2001,18,"Male","Yes","Yes",1
"3665","Yes","White",1998,19,"Male","No","Yes",2
"1951","Yes","White",1997,34,"Male","Yes","No",2
"3708","Yes","White",1999,22,"Male","Yes","Yes",2
"4259","Yes","White",1999,18,"Male","No","Yes",3
"572","Yes","White",2002,16,"Male","Yes","Yes",0
"3188","No","White",1999,28,"Male","Yes","Yes",3
"2091","Yes","White",1998,22,"Male","Yes","Yes",1
"1118","Yes","White",2002,41,"Male","Yes","Yes",0
"4222","Yes","White",2000,17,"Male","Yes","Yes",1
"3734","Yes","White",1999,17,"Male","No","Yes",1
"571","Yes","White",2000,20,"Male","Yes","Yes",3
"2667","Yes","Black",2000,22,"Male","No","Yes",0
"5107","Yes","White",1998,17,"Male","No","Yes",3
"1645","No","White",1997,21,"Male","No","No",2
"2146","No","White",2000,40,"Male","No","Yes",4
"3650","Yes","White",1999,21,"Male","Yes","Yes",2
"886","Yes","White",2001,15,"Male","Yes","Yes",0
"1512","Yes","White",1999,22,"Male","No","Yes",3
"4414","No","White",2000,31,"Male","Yes","Yes",3
"2958","Yes","White",2000,29,"Male","Yes","Yes",2
"8","Yes","White",1998,34,"Female","Yes","Yes",1
"5180","Yes","Black",1998,14,"Male","Yes","Yes",1
"4063","Yes","White",1999,17,"Male","Yes","Yes",0
"4873","No","White",2001,26,"Male","No","Yes",3
"2762","No","White",1997,20,"Male","Yes","Yes",0
"1638","Yes","White",2001,20,"Male","Yes","Yes",1
"270","Yes","White",1998,14,"Male","Yes","Yes",2
"2186","Yes","Black",2000,16,"Female","Yes","Yes",0
"2300","Yes","White",1997,22,"Male","Yes","No",4
"1271","Yes","Black",2000,24,"Male","Yes","Yes",4
"4172","Yes","Black",2002,22,"Male","No","Yes",2
"4664","Yes","White",1998,41,"Female","No","Yes",0
"2817","Yes","Black",1998,36,"Male","No","Yes",3
"2791","Yes","Black",1998,25,"Male","No","Yes",4
"923","Yes","White",2000,27,"Male","Yes","Yes",2
"959","No","White",1997,19,"Male","No","No",5
"1551","No","White",1999,18,"Male","Yes","Yes",1
"4783","Yes","Black",1999,50,"Male","Yes","No",1
"599","Yes","White",2000,28,"Male","Yes","Yes",0
"4858","Yes","Black",2000,20,"Male","Yes","Yes",1
"477","Yes","White",1999,25,"Male","Yes","Yes",1
"671","Yes","White",2000,30,"Male","No","Yes",1
"4710","Yes","White",1998,35,"Male","No","Yes",3
"3389","Yes","White",2001,26,"Male","Yes","Yes",3
"3023","Yes","White",1999,19,"Male","Yes","Yes",5
"2147","Yes","White",2000,18,"Male","No","Yes",0
"4419","Yes","Black",2001,27,"Male","Yes","Yes",1
"4689","Yes","White",1999,21,"Male","Yes","Yes",4
"3314","Yes","White",2000,22,"Female","Yes","Yes",0
"3928","Yes","White",1997,19,"Male","Yes","No",0
"731","Yes","White",2001,34,"Male","Yes","Yes",1
"769","Yes","White",2001,18,"Male","Yes","Yes",3
"3910","Yes","White",1997,32,"Male","No","No",2
"4470","No","White",1997,41,"Male","No","No",2
"1835","Yes","Black",2000,30,"Male","No","No",0
"272","Yes","White",1998,17,"Male","Yes","Yes",3
"4956","Yes","White",2002,25,"Male","Yes","Yes",1
"238","Yes","Black",1998,24,"Male","Yes","Yes",3
"3235","Yes","White",1999,29,"Male","Yes","Yes",0
"1829","Yes","Black",2001,33,"Male","Yes","No",0
"2859","Yes","White",2000,22,"Male","No","Yes",2
"986","Yes","White",1997,33,"Male","Yes","No",3
"2886","Yes","White",2001,22,"Male","Yes","Yes",0
"2016","Yes","White",2000,20,"Male","Yes","Yes",1
"4544","Yes","Black",1998,21,"Male","No","Yes",2
"266","No","White",1999,19,"Male","Yes","Yes",0
"300","Yes","White",2001,25,"Male","Yes","Yes",0
"5031","Yes","White",2000,18,"Male","Yes","Yes",3
"21","Yes","White",1998,18,"Male","Yes","No",0
"4171","Yes","Black",2000,18,"Male","Yes","No",4
"3963","Yes","White",1999,39,"Male","No","Yes",0
"342","No","Black",2001,23,"Male","No","Yes",2
"11","Yes","White",1999,18,"Male","Yes","No",0
"2275","Yes","Black",2000,34,"Male","No","No",0
"3602","Yes","White",1999,21,"Male","Yes","Yes",0
"476","Yes","White",2000,14,"Male","Yes","Yes",0
"657","Yes","White",2001,15,"Male","Yes","Yes",0
"1051","Yes","White",1998,17,"Male","No","Yes",2
"4442","Yes","Black",2000,22,"Male","Yes","No",6
"460","Yes","White",2002,43,"Male","Yes","Yes",4
"1135","Yes","Black",1999,24,"Male","Yes","No",2
"2349","Yes","Black",1999,21,"Male","Yes","Yes",3
"5116","No","White",2000,18,"Male","Yes","No",3
"2159","Yes","White",2001,30,"Male","Yes","No",0
"2861","No","White",1999,19,"Male","Yes","Yes",3
"2567","Yes","White",1999,16,"Male","Yes","Yes",0
"176","Yes","White",1999,22,"Male","Yes","Yes",0
"3100","No","Black",2000,19,"Male","No","Yes",4
"4996","Yes","White",2001,20,"Male","Yes","Yes",1
"2942","Yes","Black",2000,18,"Male","Yes","Yes",1
"2245","Yes","White",1999,20,"Female","Yes","Yes",0
"2153","Yes","Black",2001,22,"Male","Yes","Yes",0
"2139","No","Black",2001,20,"Male","Yes","Yes",4
"4188","Yes","White",2001,20,"Male","No","Yes",3
"838","Yes","White",2000,35,"Male","Yes","Yes",2
"2421","Yes","White",1998,52,"Male","No","Yes",5
"1208","No","White",2000,50,"Male","Yes","Yes",3
"4792","No","White",2001,24,"Male","Yes","Yes",3
"444","Yes","White",2001,19,"Male","Yes","Yes",0
"1775","Yes","White",2000,16,"Male","Yes","Yes",0
"3484","Yes","White",2001,24,"Male","No","Yes",4
"3802","Yes","White",1998,36,"Male","Yes","Yes",3
"3056","Yes","White",2001,17,"Male","Yes","Yes",0
"626","Yes","Black",1997,15,"Male","Yes","No",2
"2384","No","Black",2000,19,"Male","Yes","Yes",3
"1944","Yes","White",1998,20,"Male","Yes","Yes",5
"1887","Yes","White",2000,19,"Male","Yes","Yes",0
"3436","Yes","White",1999,21,"Female","Yes","Yes",0
"1256","Yes","White",1999,22,"Male","Yes","Yes",0
"13","Yes","White",2000,17,"Male","Yes","Yes",1
"1489","No","White",2001,17,"Male","Yes","Yes",3
"152","Yes","White",2000,26,"Male","Yes","Yes",0
"810","Yes","Black",1999,28,"Male","Yes","No",0
"1298","Yes","White",1999,26,"Male","Yes","Yes",1
"1627","Yes","White",2000,18,"Male","Yes","Yes",0
"1254","Yes","Black",1999,19,"Female","Yes","No",1
"1479","Yes","White",2000,34,"Male","Yes","Yes",4
"3971","No","White",2001,22,"Male","No","Yes",0
"2383","No","Black",2002,26,"Male","Yes","Yes",2
"3292","No","Black",1999,22,"Male","No","Yes",3
"3977","Yes","White",1997,19,"Female","Yes","Yes",2
"5176","Yes","White",1999,19,"Male","Yes","Yes",0
"2030","Yes","White",2001,16,"Male","Yes","Yes",4
"1463","Yes","White",1997,15,"Male","Yes","Yes",0
"4348","Yes","Black",2002,18,"Male","Yes","Yes",2
"984","Yes","Black",2001,16,"Male","Yes","Yes",3
"2868","Yes","White",1997,17,"Male","Yes","Yes",0
"3827","Yes","White",1999,24,"Male","Yes","Yes",3
"556","Yes","White",2001,16,"Male","Yes","Yes",0
"4371","Yes","White",1998,16,"Male","Yes","Yes",0
"1814","Yes","White",1998,33,"Male","Yes","Yes",3
"5155","Yes","White",2001,22,"Male","Yes","Yes",0
"1914","Yes","White",2001,16,"Male","Yes","Yes",0
"2481","Yes","White",2001,22,"Male","Yes","Yes",1
"2931","Yes","White",1999,32,"Male","Yes","Yes",0
"1622","No","White",1999,32,"Male","Yes","Yes",4
"4864","Yes","White",2000,18,"Male","No","Yes",0
"3067","No","White",2002,19,"Male","Yes","Yes",4
"3261","Yes","White",2000,23,"Male","Yes","Yes",0
"749","Yes","White",1999,23,"Male","Yes","Yes",0
"5152","Yes","White",1997,15,"Female","Yes","No",1
"2043","Yes","White",2001,25,"Male","Yes","Yes",0
"1370","Yes","White",1997,41,"Male","Yes","Yes",2
"1971","Yes","White",2001,48,"Male","Yes","Yes",0
"541","Yes","Black",1999,17,"Male","Yes","Yes",1
"1513","Yes","White",1999,25,"Male","Yes","Yes",4
"4878","Yes","White",1999,18,"Male","Yes","Yes",0
"2124","Yes","White",1999,24,"Male","Yes","Yes",0
"2929","Yes","White",2001,34,"Male","Yes","Yes",0
"2549","Yes","White",1999,36,"Male","Yes","Yes",2
"4766","Yes","Black",2000,18,"Male","No","Yes",2
"4630","Yes","White",2001,18,"Male","Yes","Yes",1
"2270","Yes","White",1997,17,"Male","Yes","No",2
"274","Yes","White",2001,22,"Male","Yes","Yes",0
"2049","Yes","White",1997,36,"Male","Yes","No",4
"852","Yes","White",1999,20,"Male","Yes","Yes",0
"3973","Yes","White",2001,37,"Male","Yes","Yes",2
"5186","Yes","White",2000,17,"Female","No","Yes",3
"2120","Yes","White",2000,19,"Male","Yes","Yes",0
"740","Yes","White",1999,29,"Male","No","No",1
"424","Yes","White",2000,15,"Male","Yes","Yes",0
"4455","Yes","White",2000,48,"Male","Yes","Yes",2
"1219","No","White",2000,21,"Male","Yes","Yes",4
"4917","No","White",2001,21,"Male","No","Yes",5
"2026","Yes","White",1998,16,"Male","Yes","Yes",0
"1703","Yes","White",1999,20,"Male","Yes","Yes",1
"4584","Yes","White",2001,19,"Male","Yes","Yes",0
"1706","Yes","White",1998,45,"Female","No","Yes",0
"3919","Yes","Black",2002,19,"Male","Yes","Yes",2
"3859","Yes","White",1998,28,"Male","Yes","Yes",2
"2797","Yes","Black",1999,21,"Male","Yes","Yes",3
"2408","Yes","Black",1999,17,"Male","Yes","Yes",3
"211","Yes","White",1998,24,"Male","Yes","Yes",0
"209","Yes","Black",2001,17,"Male","No","Yes",1
"653","No","Black",1999,26,"Male","No","No",3
"4561","Yes","Black",2001,20,"Male","Yes","Yes",3
"2191","Yes","Black",1999,19,"Male","Yes","Yes",0
"4278","Yes","White",1999,14,"Male","Yes","Yes",0
"5182","Yes","White",2000,22,"Male","Yes","Yes",3
"3419","Yes","White",2001,26,"Male","Yes","Yes",0
"4793","Yes","White",2000,31,"Male","No","Yes",1
"4720","Yes","White",1998,21,"Male","Yes","Yes",1
