"","title","rating","calories","protein","fat","sodium"
"10521","Phyllo Cups with Chocolate Mousse and Fresh Fruit ",5,711,8,48,72
"6361","Quinoa Risotto with Mushrooms and Thyme ",3.75,NA,NA,NA,NA
"2118","Mustard Watercress Sauce ",3.75,189,2,18,241
"17063","Lemon-Rhubarb Chicken ",4.375,651,41,36,165
"9877","To Tender-Roast Bell Peppers ",5,NA,NA,NA,NA
"8939","Blue Cheese Dip with Onion and Celery ",4.375,404,5,41,514
"1977","Roasted Quail with Red Grapes and Pearl Onions ",4.375,928,64,50,188
"18725","Potato Pancakes ",0,314,3,24,26
"15818","Baked Carrots with Cheese Sauce ",3.75,585,11,47,416
"5402","Mango Curry Truffles ",3.75,NA,NA,NA,NA
"8494","Almond-Macaroon Torte with Chocolate Frosting and Orange Compote ",3.125,NA,NA,NA,NA
"15306","Frittata with Fennel-Spiced Pork and Asparagus ",5,703,29,63,1322
"7563","Veal Shoulder with Porcini Mushrooms, Garlic and Rosemary ",5,610,70,31,764
"2283","Chocolate-Hazelnut Pudding ",4.375,414,7,24,155
"1979","Spiced Popcorn with Pecans and Raisins ",5,293,3,22,242
"15181","Black and White Crème Brûlée ",3.75,304,4,23,25
"11600","Mashed Potatoes with Kale ",4.375,343,9,13,57
"1048","Chinese Chicken Noodle Soup with Spinach and Garlic Chives ",3.75,301,24,18,114
"19858","Bacon-Balsamic Vinaigrette ",4.375,422,3,40,108
"12812","Boiled Lobster Dinner with Sesame Mayonnaise ",0,439,15,33,556
"13458","Broccoli Soup with Cheddar Cheese ",3.75,667,22,58,400
"7923","Seared Scallops with Tarragon Cream ",3.75,NA,NA,NA,NA
"13940","Steak au Poivre with Dijon Cream Sauce ",4.375,733,49,52,725
"3987","Brussels Sprouts and Onions with Dill ",3.75,234,6,11,38
"2803","Pavlovas with Kir Royale Sorbet and Kiwis ",3.75,NA,NA,NA,NA
"11584","Spicy Spinach and Goat Cheese Pizzas ",3.75,853,31,28,1677
"9088","Pineapple, Honeydew, and Mango with Ginger and Fresh Herbs ",4.375,142,2,1,14
"11070","Grilled Salmon in Corn Husks ",3.75,1210,43,99,67909
"12200","Pork Chops with Spiced Sweet Potatoes and Apples ",3.75,1084,101,54,338
"19284","Taglierini with Caramelized Scallops and Rosemary Beurre Blanc ",4.375,553,22,29,459
"16455","Italian Sausage and Bread Stuffing ",5,407,13,26,481
"6860","Moroccan Skirt Steak Salad With Chermoula ",3.75,1039,39,93,1868
"4721","Braised Baby Onions with Orange Juice and Balsamic Vinegar ",4.375,182,2,9,14
"13286","Peaches 'n' Cream Eclairs with Bourbon Caramel Sauce ",4.375,402,5,23,147
"8752","Coconut-Pecan-Crusted Brownies ",4.375,274,3,16,148
"2591","Spice-Rubbed Turkey with Cognac Gravy ",4.375,NA,NA,NA,NA
"14275","Grilled Chicken and Chick-Pea Salad with Carrot-Cumin Dressing ",2.5,NA,NA,NA,NA
"18140","Jalapeño Corn Muffins with Red Bell Pepper ",3.75,211,5,9,362
"9767","Beef-Short Ribs Tagine with Honey-Glazed Butternut Squash ",4.375,236,6,10,66
"7739","Potato Cakes with Leek and Carrot ",3.75,425,6,23,48
"4804","Asian Pork Crepes ",3.75,20,1,1,37
"19695","Grilled Poussins with Lemon Herb Butter ",3.125,1465,108,111,1741
"5879","Chopped Honey-Mustard Slaw ",3.75,202,2,17,911
"67","Scarborough Fair Tofu Burger ",3.125,224,21,12,340
"5652","Old-Fashioned Meat Loaf ",4.375,725,60,36,1997
"15368","Lima Bean Purée ",4.375,186,7,8,17
"4847","Asian Turkey Lettuce Wraps ",4.375,454,39,23,895
"9076","Salt-Roasted Chicken ",5,881,74,63,1586
"15830","Potato Salad ",3.75,289,5,19,594
"11165","Blueberry Compote ",4.375,234,1,1,4
"4850","Chocolate-Filled Delights ",5,NA,NA,NA,NA
"2157","Asparagus Vichyssoise with Mint ",4.375,NA,NA,NA,NA
"15572","Baked Apples with Candied Fennel and Pistachios ",0,386,3,11,21
"14170","Winter Salad with Sauteed Bay Scallops ",3.75,156,8,9,321
"13293","Honeydew and Prosciutto with Greens and Mint Vinaigrette ",0,1157,27,21,1689
"9196","Baked Potato Wedges with Seasoned Salt ",4.375,791,10,50,2550
"18152","Mini Lobster Rolls ",5,56,4,4,163
"8867","Charred Eggplant and Tahini Spread ",4.375,183,2,16,8
"19510","Pumpkin-Apple Streusel Cake ",3.75,537,7,26,446
"9300","Red Bell Pepper Sauce ",4.375,65,2,3,20
"8356","Shark Kebabs with Orange-Avocado Salsa ",3.75,416,38,25,228
"17666","Cowboy Christmas Breakfast ",3.75,410,24,27,1033
"9464","Green Beans With Mushroom XO Sauce ",0,NA,NA,NA,NA
"12481","Cranberry-Crab Rangoon ",5,NA,NA,NA,NA
"2922","Spicy Chicken and Rice ",3.75,NA,NA,NA,NA
"17624","Carrot Purée ",4.375,123,2,8,387
"13345","Plum-Blackberry Streusel Pie ",5,397,4,13,221
"4589","Gingered Vegetable Stir-Fry ",3.75,91,2,5,459
"19675","Chilled Herbed Tomato Soup with Citrus and Spice ",5,196,5,6,154
"2007","Chicken Breasts with Tomatoes and Capers ",3.75,279,33,10,886
"1906","Scallop Ceviche with ""Tiger's Milk"" ",4.375,NA,NA,NA,NA
"15979","To Quick-Roast and Peel Chilies or Peppers ",2.5,NA,NA,NA,NA
"18889","Blood-Orange Rum Punch ",1.25,324,1,0,12
"9534","Sparkling Raspberry Lemonade ",4.375,168,1,0,23
"3002","Tuna Carpaccio with Watercress Salad and Balsamic Dressing ",5,NA,NA,NA,NA
"13747","Duck Sausage Pizza with Green Onions and Tomato ",4.375,2971,93,269,1286
"8569","Corn Bread and Spiced-Pecan Stuffing ",4.375,NA,NA,NA,NA
"10915","Champagne Pick-Me-Up ",0,NA,NA,NA,NA
"19545","Cold Pea Soup With Herbed Oil Swirl ",5,235,12,10,582
"7247","Sour Cream Chocolate-Chip Cake ",3.75,486,6,27,193
"2375","Potato-Crusted Goat Cheese Tart with Heirloom Tomato Salad ",3.75,353,11,19,167
"17187","Quick Focaccia ",3.125,NA,NA,NA,NA
"10718","Cobb Salad ",4.375,811,54,63,392
"6080","Almond Apricot Biscotti ",3.75,51,1,2,28
"18419","Green Salad with Goat Cheese, Artichoke Hearts and Migas ",5,364,15,23,780
"6878","Buttery Cornbread ",4.375,240,5,12,284
"4635","Khao Neeo ",3.75,351,6,1,1
"6320","Cranberry Pistachio Biscotti ",4.375,NA,NA,NA,NA
"16313","Jungle Curry with Pork and Thai Eggplant ",3.75,233,25,11,143
"5692","Lemon Thyme Madeleines with Lemon Vodka Syrup ",4.375,118,1,5,47
"15230","Penne with Pancetta, Sage, and Mushrooms ",5,796,31,42,711
"15005","Rhubarb and Ricotta Cheese Puff-Pastry Tartlets ",4.375,708,13,32,231
"5880","Prosciutto and Goat Cheese Timbales with Mixed Greens ",5,436,21,37,1220
"7014","Hasselback Potatoes ",3.125,243,5,9,321
"1581","Italian Sausage and Bread Stuffing ",5,407,13,26,481
"7091","Mahimahi with Macadamia Nut Crust ",4.375,495,29,37,290
"5194","Philadelphia Fish House Punch ",3.75,222,0,0,2
"13859","Onion and Barley Soup with Swiss Cheese Flan ",4.375,633,21,49,398
"1255","Prepared Horseradish ",2.5,120,3,2,3339
"10533","Fudgy Chocolate Birthday Cake ",4.375,654,6,38,99
"9859","Thyme Focaccia and Parmesan Focaccia ",4.375,1829,59,49,3536
"2595","Holiday Apple-Raisin Challah ",3.75,350,8,11,102
"13445","Apple-Raisin Chutney ",4.375,328,1,0,298
"12735","Grand Marnier Souffles with Crème Anglaise ",5,286,8,14,77
"19311","Sicilian Spinach Sauté ",3.75,185,10,8,503
"18899","Green Beans with Caramelized Pecans ",5,135,3,10,200
"778","Herb-Baked Potato Chips with Crème Fraîche and Caviar ",3.75,23,1,1,5
"9511","Chipotle-Black Bean Burritos ",4.375,561,19,29,1281
"14914","Mint Julep Spritzer ",5,145,1,0,26
"5278","Modern Chop Suey with Shallots, Ginger, and Garlic Essence ",3.75,228,16,4,411
"8258","Chipotle Vinegar ",4.375,NA,NA,NA,NA
"11998","The Ruby Diamond ",0,NA,NA,NA,NA
"6549","Spicy Lemongrass Tofu ",4.375,285,11,22,635
"16080","Stir-Fried Vegetables with Orange and Mint ",1.25,NA,NA,NA,NA
"4425","Brussels Sprouts with Shallots and Wild Mushrooms ",4.375,342,6,29,333
"15599","Aloo Gobhi Stuffing ",4.375,524,16,24,837
"3187","Red Snapper with Warm Tomato Salad ",4.375,NA,NA,NA,NA
"10411","Linguine with Zucchini, Carrots, and Mixed Herb Pesto ",0,465,15,16,145
"9358","Fudgy Chocolate Banana Flax Muffins ",5,182,5,10,268
"10809","Room 4 Dessert Sour ",0,225,2,0,24
"10119","Quick Sausage and Mushroom Lasagna ",4.375,NA,NA,NA,NA
"6208","Sicilian Grill-Roasted Chicken ",5,877,57,68,1246
"9729","Chocolate-Glazed Coconut-Almond Cake ",4.375,773,9,45,170
"17151","Tex-Mex Turkey Meat Loaf and Chipotle Mashed Potatoes ",3.75,NA,NA,NA,NA
"10911","Hold-The-Lime Guacamole ",4.375,216,3,19,250
"11437","Fresh Tuna Sandwich ",1.25,NA,NA,NA,NA
"18888","Coconut, Strawberry, and Banana Smoothie ",4.375,NA,NA,NA,NA
"14608","Bittersweet Chocolate Sauce ",0,470,3,33,131
"5060","Fennel and Sausage Ragù Over Pasta ",3.75,730,36,17,1239
"3430","Parsley, Garlic, and Onion Spread ",1.875,189,3,13,163
"14183","Bourbon-Pecan Tart ",5,400,6,25,174
"17070","Rhubarb Raspberry Sauce ",5,174,2,0,7
"632","Lobster Salad with Curried Mango Dressing ",3.125,NA,NA,NA,NA
"17561","Pop's No-Cook Barbecue Sauce ",3.75,233,3,15,1423
"3789","Green Salad with Miso-Ginger ",4.375,NA,NA,NA,NA
"1207","Tacos al Pastor ",4.375,510,51,20,926
"13257","Tortilla Espanola with Saffron Aïoli ",3.125,959,9,91,636
"16061","Beet and Pear Napoleons with Ginger Juice Vinaigrette ",4.375,208,6,4,212
"9902","Top-Shelf Margaritas ",5,201,0,0,22583
"16548","Double-Corn Chowder with Chipotle and Bacon ",4.375,224,5,15,218
"14933","Spicy Pickled Green Beans and Fennel ",0,62,2,0,1451
"12325","Island Pork Tenderloin Salad ",5,716,42,39,1183
"4296","Cedar Planked Salmon with Maple Glaze and Mustard Mashed Potatoes ",4.375,NA,NA,NA,NA
"16663","Couscous Vegetable Salad ",4.375,331,7,16,14
"3779","Melon Carpaccio with Lime ",5,136,2,0,31
"1056","Gemelli with Shrimp, Red Bell Peppers, and Peas ",3.75,NA,NA,NA,NA
"596","White Fish Terrine with Salmon Roe and Dill ",2.5,265,12,24,721
"3897","Orzo, Feta, and Tomato Salad with Marjoram Vinaigrette ",4.375,443,13,22,405
"12551","Grilled Pineapple and Banana Sauce with Honey and Lime ",5,518,5,5,10
"14412","Turkey Breast Stuffed with Sausage, Fennel, and Golden Raisins ",4.375,623,61,35,685
"6421","Cornmeal-Crusted Oven-Fried Chicken ",3.75,1178,73,78,1704
"11176","Quickest Madeira-Mushroom Gravy ",5,NA,NA,NA,NA
"2745","Macerated Grapes in Clove and Cinnamon Syrup ",3.125,1099,3,1,33
"7184","Yogurt Marinated Grilled Chicken ",4.375,1235,88,93,1087
"17785","Chestnut Pancakes with Bacon and Crème Fraîche ",4.375,NA,NA,NA,NA
"8081","Cream of Broccoli Soup ",3.75,342,13,22,442
"3195","Buttermilk Panna Cotta with Rhubarb-Strawberry Jelly ",5,210,3,13,156
"18711","Niçoise Orzo Salad ",4.375,476,22,19,437
"19016","Sweet Potato Shepherd's Pie ",3.75,NA,NA,NA,NA
"10377","Country-Bread Stuffing with Parmesan, Raisins, and Pine Nuts ",4.375,1279,33,62,1548
"8701","Mango Meringue Tartlets ",3.75,890,16,31,177
"7896","Potato, Cucumber and Tomato Raita ",3.125,344,14,6,118
"6422","Sour-Cherry Streusel Pie ",5,423,5,12,143
"12818","Bacon and Egg Sandwiches with Pickled Spring Onions ",5,884,24,69,1687
"6336","Gluten-Free Orange Almond Coconut Muffins ",3.125,205,4,7,144
"1553","Cajun Corn Bread Stuffing ",4.375,282,11,22,474
"12211","White Chocolate-Sambuca Cream ",3.75,179,1,14,23
"17992","Summer Smoothie ",3.125,NA,NA,NA,NA
"5317","Fresh Lime Tart with Meringue Lattice and Glazed Berries ",4.375,535,9,21,142
"10942","Iced Horchata Latte ",0,NA,NA,NA,NA
"14279","Baked Tomatoes ",5,184,4,11,686
"1788","Tender Zucchini Fritters with Green Goddess Dressing ",3.75,193,3,17,434
"17166","Classic Barbecue Pork Ribs with Smoky Bacon Barbecue Sauce ",3.75,NA,NA,NA,NA
"13695","Eggplant Napoleon ",1.25,NA,NA,NA,NA
"19740","Grilled Pork Tenderloin with Pipian Sauce ",2.5,559,42,39,118
"16165","Spicy Sauteed Broccolini with Garlic ",3.75,NA,NA,NA,NA
"10532","Basic Eggnog ",3.75,424,12,12,164
"2995","Chicken Burritos ",3.75,NA,NA,NA,NA
"9171","Robson ",0,108,0,0,4
"8876","Sweet-and-Sour Balsamic-Glazed Spareribs ",4.375,2341,104,153,1894
"19618","Lemon Fennel Iced Tea ",0,139,0,0,13
"17677","Indian Clarified Butter ",5,203,0,23,3
"13325","Broiled Plums with Maple Syrup and Cinnamon Toasts ",0,431,6,15,204
"5360","Lemon Olive-Oil Cake ",4.375,369,5,23,46
"13069","Shaved Root Vegetable Salad ",4.375,NA,NA,NA,NA
"15945","Pipérade with Ham ",3.75,411,19,30,663
"8781","Tadka Dhal ",3.125,144,2,11,41
"8021","Chocolate Lovers' Butterscotch Chiffon Tart ",3.75,562,7,36,157
"5546","Overnight Pizza Dough ",5,NA,NA,NA,NA
"2376","Smoked Turkey and Bacon Chowder with Pumpernickel and Cranberry Croutons ",3.75,NA,NA,NA,NA
"6062","Moroccan Lemon Chicken ",3.75,548,44,29,798
"13980","Vietnamese Sandwiches with Five-Spice Chicken ",4.375,875,48,47,1703
"3349","Spanish Crusted Roast Pork Tenderloin ",4.375,237,21,13,108
"4326","Cherry-Apricot Yogurt Sundaes ",5,146,4,3,39
"6006","Orange, Jícama, and Watercress Salad ",4.375,163,2,14,373
"1397","Creamed Corn with Bacon ",5,337,8,28,302
"8271","Negroni ",0,270,2,0,2
"2061","Tomato, Edamame and Corn Sauté with Cumin and Cilantro ",3.75,NA,NA,NA,NA
"1918","Rib-Eye Tacos with Onion Jam and Horseradish Crème Fraîche ",4.375,232,7,13,169
"5191","Green Juice with Baobab Powder ",0,166,3,1,128
"353","Champagne Vinaigrette ",5,749,1,73,937
"3454","Chicken with Mustard Cream on Watercress ",4.375,401,56,17,352
"14596","Ruffle-Edged Pasta with Cauliflower and Parsley Sauce ",3.75,NA,NA,NA,NA
"9593","Sushi Rice ",3.75,191,3,0,303
"13526","Preserved Lemons ",5,37,0,0,2505
"10956","Pear-Ginger Strudel with Ginger-Custard Sauce ",5,627,6,30,218
"7950","Roast Beef and Arugula Crostini with Olive-Red Pepper Relish ",4.375,110,9,6,129
"10335","Lime-Soy-Ginger Sauce ",0,150,7,10,2298
"1320","KCB ",0,147,0,0,1
"13283","Romesco Sauce ",5,430,4,44,41
"14113","Beef Stroganov ",3.75,330,18,26,329
"3568","Coffee Dacquoise Hearts ",5,763,9,53,56
"16987","Oatmeal, Fig, and Walnut Bars ",4.375,NA,NA,NA,NA
"18538","Roast Duck, Butternut Squash, Cèpes, and Green Beans ",3.125,2677,80,236,564
"19278","Potato Salad with Pancetta, Rosemary, and Lemon ",4.375,369,6,25,135
"14255","Brown- and Wild-Rice Pilaf with Porcini and Parsley ",3.75,NA,NA,NA,NA
"14934","Celery Root Soup ",2.5,156,7,5,567
"4146","Spiced Pumpkin Phyllo Pie ",3.75,NA,NA,NA,NA
"4713","Marinated Vegetable Salad ",3.75,238,4,19,146
"9234","Lamb Chops with Minted Potatoes and Zucchini ",3.75,1495,53,131,206
"19219","Basic Nut Milk ",4.375,NA,NA,NA,NA
"1795","Sauteed Cod Provençale ",3.75,278,38,12,138
"12002","How to Clean and Steam Mussels ",1.25,NA,NA,NA,NA
"17392","Shrimp Provençale ",4.375,205,17,10,802
"10305","Broiled Lemon Thyme Pollock ",3.75,333,32,23,467
"571","Mexican Chocolate Brownies ",4.375,247,4,14,113
"7223","Cherry-Almond Crisp ",4.375,417,6,11,43
"469","Tatemado de Costilla de Res (Tatemado Short Ribs) ",0,NA,NA,NA,NA
"13520","Bazooka Bubblegum Cocktail ",4.375,NA,NA,NA,NA
"9466","Grilled Portobello and Red Bell Pepper Salad with Rosemary Dressing ",4.375,347,17,21,75
"16453","Mock Risotto ",3.75,306,10,10,180
"16308","Root Vegetable Gratin ",4.375,252,7,14,130
"7154","Pork Tenderloin with Roasted Apples and Onions ",4.375,295,22,14,139
"16502","Chocolate Chestnut Torte ",4.375,298,4,20,61
"19391","Kumquat Compote with Sauternes and Ginger ",5,181,1,1,11
"12688","Roasted Red Pepper Harissa ",0,NA,NA,NA,NA
"7511","Sweet Potatoes and Greens with Honey-Mustard Glaze ",4.375,253,4,8,325
"16754","Chicken Stock ",4.375,41,3,3,81
"4271","Strawberry-Rhubarb Shortcakes ",4.375,1021,10,82,341
"7104","Chicken and Andouille Sausage Ragù ",3.75,6370,465,476,2828
"6473","Savory Bread Pudding with Mushrooms and Parmesan Cheese ",4.375,471,14,34,840
"14489","Chicken Fricassée with Black-Eyed Peas and Spinach ",3.75,470,49,19,413
"10933","Three-Pepper Slaw with Chipotle Dressing ",3.75,NA,NA,NA,NA
"10295","Spiced Pecans ",3.125,197,2,21,147
"19138","Shrimp, Jícama, and Apricot Salad ",4.375,582,17,9,15
"3916","Lemon Blueberry Cupcakes With a Citrus Glaze ",5,354,5,10,149
"12591","Poppy Seed Layer Cake with Strawberries and White Chocolate Cream ",4.375,794,10,43,325
"7529","Golden Egg White Omelets with Spinach and Cheese ",1.875,NA,NA,NA,NA
"1128","Lamb with Couscous and Minted Fruit Chutney ",5,NA,NA,NA,NA
"2539","New Potato Salad with Sauteed Onion Vinaigrette ",3.125,196,5,3,79
"1808","Strawberry Cream Cheese Tart ",1.25,630,9,30,167
"18608","Spicy Tomato Sauce from Giada de Laurentiis's Everyday Italian ",5,NA,NA,NA,NA
"11147","Toasted Pumpkin Seeds ",4.375,208,11,19,3
"19270","Matzo Scallion Pancakes ",3.75,74,1,7,92
"12015","Apple and Dried-Cherry Lattice Pie ",5,322,3,16,188
"17476","Crackling Corn Bread ",1.875,280,8,15,552
"13846","Ranch Beans ",3.75,598,31,23,702
"18031","Ricotta Gnudi with Wild Mushroom and Truffle Sauce ",4.375,655,40,37,886
"10605","Yu Bo's Shiitake Mushrooms with Scallions ",4.375,238,10,17,506
"2239","Shrimp and Pork Pot Stickers ",5,93,4,2,254
"1840","Raspberry-Ricotta Cake ",4.375,NA,NA,NA,NA
"9381","Curried Scallop and Vegetable Chowder ",3.75,350,27,10,1412
"16375","Asian Scallop Stew with Coconut, Ginger and Lime ",3.75,315,24,19,1390
"7943","Vegetable Kebabs with Saffron Butter ",3.75,167,3,12,17
"9390","Salad Niçoise with Mint-Lemon Dressing ",3.75,722,1,81,42
"15147","Filets Mignons with Mustard Port Sauce with Red Onion Confit ",4.375,628,34,41,229
"19599","Spiced Coconut Chicken and Rice ",5,NA,NA,NA,NA
"11758","Honey, Almond, and Date Ice-Cream Sauce ",3.75,502,5,23,205
"5559","Fish and Chips with Malt Vinegar Mayonnaise ",3.75,NA,NA,NA,NA
"7574","Salsa Verde ",3.75,167,1,17,124
"18293","Potato Gratin with Bacon and Thyme ",4.375,385,9,26,586
"2703","Pork Chops in Balsamic Cherry Sauce ",3.75,357,31,21,585
"1378","Black Bean and Rice Salad ",4.375,302,8,10,385
"4382","Rum-Punch Granita ",0,341,2,0,13
"17354","Red Bell Pepper Harissa ",4.375,155,2,11,389
"4985","Three-Onion Sauté ",0,139,1,9,86
"8990","Oysters Rockefeller ""Deconstructed"" ",3.75,867,23,82,1620
"15879","Five Bean Picnic Salad ",4.375,248,15,3,678
"18727","Halibut with Herb Sauce ",3.75,318,32,20,117
"11240","Crab and Corn Chowder with Bacon ",3.75,558,32,29,1308
"16500","Lettuce and Beet Salad with Sour Cream Dressing ",3.75,149,4,8,152
"696","Tuscan Almond Cookies (Ricciarelli) ",0,76,2,5,15
"3886","Marsala Baked Apples ",2.5,NA,NA,NA,NA
"1937","Hot Raspberry Soufflé ",3.75,NA,NA,NA,NA
"3490","Vegetable and Chickpea Ragout ",3.75,NA,NA,NA,NA
"14335","Lemon Zabaglione ",5,205,6,7,44
"9100","Chilled Cucumber and Orange Juice with Oregano ",5,59,2,0,3
"14011","Pink Greyhound ",5,221,0,0,3
"16692","Roasted-Garlic and Buttermilk Salad Dressing ",3.75,695,13,66,855
"19519","Miso-Glazed Chicken Breast with Vegetable Sushi Rice ",4.375,NA,NA,NA,NA
"6849","White Chocolate and Fresh Raspberry Terrine ",3.75,NA,NA,NA,NA
"10486","Veal Rib Eye with Ragoût of Pearl Onions, Peas and Artichokes ",4.375,1047,67,85,201
"9922","Orange Soufflé ",3.75,172,6,6,163
"9098","Chicken in Dill Mustard Sauce ",3.75,2111,151,156,1103
"10974","Swordfish, Bacon, and Cherry Tomato Kebabs ",5,792,49,62,911
"19853","Tuna Tonnato with Eggplant Salad ",5,478,32,27,768
"4626","Clams with Jalapeño, Lemon, and Basil ",4.375,362,51,9,2191
"13119","Chocolate Sheet Cake with Sour Cream Frosting ",3.75,389,5,25,166
"7916","Crème de Cacao Egg Cream ",3.75,255,2,2,44
"12361","Potatoes and Snap Peas with Egg Mint Mimosa ",3.75,339,10,17,1502
"6567","Lemon-Tahini Sauce ",4.375,375,11,32,763
"1530","Chocolate Roll with Cappuccino Cream ",4.375,224,4,12,92
"7591","Chocolate-Apricot Pie ",1.25,NA,NA,NA,NA
"15994","Warm Goat Cheese and Carrot Salad with Marjoram-Honey Vinaigrette ",3.75,391,8,34,270
"5807","Chocolate Chunk and Apricot Cannoli ",3.75,NA,NA,NA,NA
"3661","Grilled Dixie Chicken with Cayenne Spice Rub ",4.375,1095,85,80,2082
"11011","Cornbread Stuffing with Fresh and Dried Fruit ",4.375,363,4,16,689
"11983","Peanut Brittle ",2.5,NA,NA,NA,NA
"3700","Dean & Deluca's Tuna Sandwich with Carrots, Red Onion, and Parsley ",4.375,418,29,19,1350
"15364","Verjus Relish ",3.75,169,1,17,17
"15225","Aged Sherry-Walnut Vinaigrette ",4.375,203,1,22,197
"7029","Cranberry Pear Hazelnut Financier ",4.375,2923,49,162,2094
"13140","Southern Gin ",0,NA,NA,NA,NA
"17588","Green Onion-Dill Matzo Balls ",4.375,79,2,6,168
"10632","Simple Shrimp, Coconut and Eggplant Curry ",4.375,NA,NA,NA,NA
"18059","Flying Scotsman ",0,145,0,NA,3
"765","Oven-Fried Potato Chips with Thyme ",2.5,590,11,21,26
"4933","Cardamom-Scented Grass-Fed Rib Steak with Herb Vinaigrette ",4.375,419,23,33,934
"1917","Fruit Juice ""Gummies"" ",3.75,NA,NA,NA,NA
"13061","Smoked Trout Soufflé in a Phyllo Crust ",4.375,340,16,23,467
"14285","Strawberry-Ricotta Parfait ",4.375,NA,NA,NA,NA
"17006","Cranberry Mustard ",4.375,253,7,8,319
"15053","Spicy Crab Spaghettini with Preserved Lemon ",3.75,447,19,21,574
"2152","Parmesan Polenta with Ham ",4.375,NA,NA,NA,NA
"3954","Beef Filé Gumbo ",1.875,NA,NA,NA,NA
"10702","Cranberry and Pear Chutney ",4.375,236,2,1,85
"9929","Dilled Seafood en Papillote ",4.375,353,31,23,294
"4168","Country-Style Pork Ribs With Bourbon and Coke BBQ Sauce ",3.75,1364,75,103,894
"4887","Butternut Squash Soup with Pancetta and Tomatoes ",3.75,235,10,9,194
"4393","Brandy Cobbler ",0,NA,NA,NA,NA
"5782","Roasted Beet, Red Onion and Cranberry Relish ",3.125,150,2,4,428
"8521","Chinese Chicken Noodle Soup with Sesame and Green Onions ",4.375,510,36,16,627
"18213","Tomatillo Salsa ",5,32,1,1,390
"5778","Red Wine-Braised Short Ribs with Vegetables ",3.75,1708,78,76,817
"2755","Chocolate Glaze ",0,247,1,6,4
"1679","Mixed Greens with Crispy Bacon, Goat Cheese, and Fried Egg ",4.375,275,13,24,272
"13418","Citrus-Scented Mixed Berry Pie with Oatmeal Lattice Crust ",4.375,494,7,17,163
"14789","Three-Bean Salad ",5,259,12,12,924
"16582","Turkey Breast Medallions with Tomato Jam ",4.375,NA,NA,NA,NA
"2720","Garlic Mashed Potatoes ",3.75,206,3,9,11
"13619","Chicken Meatballs With Ginger and Miso ",4.375,NA,NA,NA,NA
"272","Breakfast Bowl With Quinoa and Berries ",5,173,5,7,3
"10287","Creamed Spinach Deluxe ",4.375,143,6,9,213
"14779","Cashew Soup ",3.75,189,7,15,320
"3451","Buttermilk Corn Bread ",3.75,253,5,11,326
"15907","Epicurean Broiled Turkey ",0,297,45,12,233
"3470","Bacon-Balsamic Vinaigrette ",4.375,422,3,40,108
"3053","Sauteed Kale with Bacon and Vinegar ",3.125,205,11,13,257
"6964","Butternut Squash with Shallots and Sage ",4.375,199,4,7,375
