"","hours","income","age","education","child5","child13","child17","nonwhite","owned","mortgage","occupation","unemp"
"2878",2096,61,28,10,0,3,0,1,1,0,"other",5
"3089",0,350,49,10,0,0,1,0,0,0,"swcc",4
"3354",1748,230,27,13,1,0,0,1,0,0,"other",5
"224",0,72,63,12,0,0,0,0,1,0,"other",9
"1324",1328,26,23,12,0,0,0,0,0,0,"other",6
"840",1840,50,51,12,0,0,0,0,1,0,"other",3
"2528",1992,270,48,12,0,0,1,0,1,1,"other",5
"400",960,265,29,16,2,0,0,0,1,1,"swcc",6
"2342",0,110,25,10,4,1,0,1,1,1,"swcc",4
"2245",1120,380,39,17,0,2,0,1,1,1,"mp",2
"2192",0,340,31,12,2,0,0,0,1,1,"other",5
"650",694,574,31,16,2,0,0,0,1,1,"mp",5
"1351",0,97,56,10,0,0,0,1,0,0,"other",5
"683",1494,310,38,16,0,2,1,0,1,0,"other",5
"2836",2542,169,32,14,1,1,1,0,0,0,"other",5
"1085",1720,250,34,15,1,1,0,0,1,1,"mp",4
"1194",0,131,19,11,0,0,0,0,0,0,"other",5
"306",727,418,46,16,0,1,0,0,1,1,"mp",4
"1849",1937,192,34,12,0,2,0,0,1,1,"other",10
"841",1936,382,39,13,0,0,1,0,1,1,"mp",3
"3199",0,123,25,11,3,0,0,1,0,0,"other",12
"854",1836,58,24,16,0,0,0,0,0,0,"mp",6
"2398",1510,180,33,12,0,2,0,1,0,0,"other",6
"2485",1960,190,34,12,1,2,0,1,1,1,"swcc",4
"3166",2020,80,49,8,0,0,0,1,1,0,"other",4
"1472",2160,652,33,15,0,0,0,0,1,1,"swcc",6
"686",1034,413,35,16,2,0,0,0,1,1,"mp",3
"2230",0,72,29,12,2,2,0,1,0,0,"other",6
"2097",160,280,28,11,0,1,0,0,1,1,"other",5
"798",0,180,28,12,1,1,0,0,1,1,"other",2
"1011",1440,346,38,16,0,1,2,0,1,1,"mp",9
"431",394,278,30,12,0,2,0,0,1,1,"other",4
"1219",120,288,42,12,0,0,0,0,1,1,"swcc",6
"581",0,352,60,11,0,0,0,0,1,0,"swcc",4
"339",1760,108,44,13,0,0,0,0,0,0,"other",3
"2332",0,210,23,10,1,0,0,0,1,1,"other",7
"2275",2952,322,25,12,1,0,0,0,1,1,"swcc",4
"314",0,240,62,12,0,0,0,0,1,0,"other",6
"3300",0,64,62,10,0,0,0,1,0,0,"other",7
"3260",2024,120,27,12,0,1,0,1,0,0,"other",6
"615",1387,423,40,16,0,1,1,0,1,1,"fr",5
"418",2072,40,22,13,0,0,0,0,0,0,"other",2
"2743",0,124,29,12,3,1,0,1,0,0,"other",9
"2038",0,84,31,12,0,2,0,0,0,0,"other",5
"1935",0,537,32,13,0,2,0,0,1,1,"other",8
"1773",0,290,27,16,2,0,0,0,0,0,"other",6
"1951",2940,360,38,12,0,2,1,0,1,1,"swcc",5
"3278",2000,276,46,12,0,0,0,1,1,1,"other",6
"697",1610,383,55,12,0,0,0,0,1,1,"swcc",3
"1375",1362,140,48,10,0,0,1,0,1,0,"fr",6
"3221",2008,152,29,13,0,0,2,1,1,1,"other",3
"2182",2176,184,35,11,1,0,0,1,1,1,"swcc",5
"501",243,496,42,16,0,2,0,0,0,0,"mp",3
"117",1897,126,20,12,0,0,0,0,1,1,"other",7
"3150",0,154,32,11,0,3,0,0,0,0,"other",9
"2243",0,233,52,7,0,0,0,0,1,0,"fr",5
"186",0,460,35,12,1,2,0,0,1,1,"mp",8
"1041",0,740,39,12,0,2,0,0,1,1,"mp",2
"254",1729,159,34,12,0,0,0,0,1,1,"mp",6
"2851",2010,595,42,12,0,0,0,1,1,1,"other",6
"1544",2133,268,29,12,1,0,0,0,1,0,"swcc",4
"2912",2080,220,27,12,2,1,0,1,1,1,"other",5
"3305",0,230,36,10,0,1,1,1,1,1,"other",7
"577",688,39,25,14,2,0,0,0,0,0,"other",9
"3240",0,390,61,6,0,0,0,1,0,0,"other",7
"2178",1986,144,41,12,1,0,1,1,0,0,"swcc",6
"262",0,150,45,10,0,1,0,1,1,0,"other",10
"40",0,120,28,12,1,2,0,0,0,0,"swcc",4
"702",94,353,30,12,0,2,0,0,1,1,"swcc",7
"1012",1744,253,29,16,1,0,0,0,1,1,"mp",4
"1644",3029,83,54,12,0,0,0,0,1,0,"other",8
"2627",1932,406,32,11,0,1,0,1,1,1,"other",9
"338",0,166,62,12,0,0,0,0,1,0,"other",4
"2498",1297,160,32,12,1,2,0,1,1,0,"swcc",5
"2559",1992,160,36,12,1,1,0,1,1,1,"swcc",9
"1604",1110,707,45,15,0,0,0,0,1,1,"mp",5
"1264",2184,180,20,12,0,0,0,1,0,0,"mp",4
"1423",864,188,46,11,0,1,0,0,1,1,"other",7
"1989",0,1742,53,17,0,0,0,0,1,0,"swcc",5
"728",1912,348,34,14,0,1,1,0,1,1,"mp",6
"817",0,363,27,12,2,0,0,0,0,0,"swcc",5
"2624",2116,160,30,12,0,1,0,0,0,0,"swcc",11
"302",0,236,37,13,0,1,0,0,1,1,"other",8
"410",2000,0,29,12,1,0,0,0,1,1,"other",5
"1493",2050,20,36,12,0,1,1,0,0,0,"mp",5
"105",2000,569,41,12,0,1,0,0,1,1,"swcc",5
"2174",0,140,24,11,2,0,0,0,0,0,"other",10
"1335",0,307,44,13,0,0,0,0,1,1,"mp",5
"1760",1098,43,29,12,2,3,0,0,0,0,"fr",3
"173",492,558,35,12,0,2,1,0,1,1,"mp",2
"1189",0,378,54,12,0,0,0,1,1,0,"other",5
"2347",1392,90,21,12,1,0,0,1,0,0,"swcc",4
"2694",1798,130,29,15,0,1,0,1,0,0,"swcc",7
"1818",2080,30,38,12,0,1,2,0,1,0,"swcc",8
"3294",600,170,29,8,2,2,0,1,1,1,"swcc",4
"2085",296,610,35,16,1,2,0,0,1,1,"mp",6
"2740",744,267,24,13,3,0,0,1,0,0,"other",5
"2609",0,240,51,12,0,0,1,1,1,0,"other",6
"1548",262,93,23,15,1,0,0,0,0,0,"other",2
"189",0,454,64,12,0,0,0,0,1,0,"other",8
"2105",1096,85,52,12,0,0,0,1,1,1,"other",9
"160",2940,902,52,13,0,0,0,0,0,0,"mp",5
"2579",408,370,38,12,0,2,1,0,1,1,"swcc",3
"2396",1908,352,40,16,0,2,0,0,1,1,"mp",4
"1507",1310,324,29,12,1,0,0,0,1,1,"other",6
"2395",2047,349,34,12,0,1,1,0,1,1,"mp",4
"1473",136,9,31,14,1,0,0,0,0,0,"swcc",4
"851",0,136,59,5,0,0,0,0,1,1,"other",5
"3203",261,96,19,12,1,0,0,0,0,0,"swcc",9
"2493",1935,80,39,12,0,0,0,1,1,1,"other",4
"3160",1913,173,29,16,0,0,0,0,0,0,"other",4
"286",0,147,26,12,2,1,0,0,1,1,"other",12
"1648",2176,427,28,12,0,0,0,0,0,0,"mp",3
"1141",1771,581,42,12,0,0,2,0,1,1,"swcc",3
"453",1970,366,29,12,0,2,0,0,1,1,"mp",8
"1940",2640,740,35,13,0,0,0,0,1,1,"mp",8
"1643",641,43,41,12,0,2,0,0,0,0,"other",6
"1640",0,384,33,12,0,1,0,0,1,1,"other",6
"2127",2008,300,43,13,1,0,1,1,1,1,"other",8
"1018",2080,50,47,11,0,0,0,1,1,1,"swcc",5
"586",1652,196,32,14,1,1,0,0,1,1,"other",7
"1377",195,115,24,10,1,1,0,0,0,0,"mp",6
"283",328,426,49,12,0,0,0,0,1,1,"swcc",11
"204",1040,705,45,13,0,0,0,0,1,1,"swcc",3
"820",1992,280,36,15,0,2,1,1,1,1,"mp",6
"144",1944,430,38,16,1,2,0,1,1,1,"mp",3
"2031",2072,199,40,13,0,1,0,1,1,1,"mp",5
"1114",50,189,52,11,0,0,0,0,1,1,"other",4
"1679",0,180,32,14,1,1,0,0,1,1,"mp",4
"1721",2480,451,25,16,0,0,0,0,1,1,"swcc",4
"389",0,186,32,10,1,1,0,0,1,1,"mp",6
"1121",1568,333,37,10,0,0,1,0,1,1,"swcc",11
"162",1822,356,35,13,0,0,1,0,1,1,"swcc",5
"359",2080,481,24,12,0,0,0,0,1,1,"other",5
"3368",1612,230,19,12,0,0,0,1,0,0,"other",3
"1945",1993,250,43,12,1,0,0,0,1,1,"fr",7
"2137",605,64,23,12,0,0,0,0,1,1,"other",3
"1958",2361,312,42,16,0,4,1,0,1,1,"swcc",4
"1102",0,149,42,9,1,1,1,0,1,1,"other",11
"3069",733,160,36,9,0,1,3,0,0,0,"swcc",8
"1183",1920,60,53,11,0,0,0,0,1,1,"swcc",4
"179",0,1000,36,14,2,0,0,0,1,1,"mp",5
"1355",1582,70,20,14,0,0,0,0,0,0,"swcc",8
"217",130,859,55,17,0,0,0,0,1,1,"mp",4
"77",1634,37,40,16,0,2,0,0,0,0,"mp",3
"2154",1530,150,51,12,0,0,0,0,1,0,"swcc",10
"257",0,380,43,13,0,0,0,0,1,1,"mp",6
"755",576,600,33,17,1,0,0,0,1,1,"mp",5
"2032",0,190,33,13,0,2,1,1,1,1,"mp",5
"2599",1040,420,38,12,0,4,1,1,1,1,"swcc",5
"895",1733,225,37,12,2,1,1,0,1,1,"other",5
"980",1388,584,41,12,0,1,0,0,1,0,"swcc",9
"2076",630,396,58,16,0,0,0,0,1,1,"other",6
"1618",0,225,25,12,1,0,0,0,0,0,"swcc",7
"195",1924,383,49,12,0,0,0,1,0,0,"mp",5
"23",2104,246,37,17,0,2,1,0,0,0,"other",5
"2074",500,199,32,16,2,2,0,0,0,0,"mp",6
"112",0,75,57,12,0,0,0,0,1,0,"other",3
"2080",74,451,34,14,1,0,0,0,1,1,"mp",6
"3077",1248,75,62,7,0,0,0,1,1,1,"other",6
"1707",1968,313,24,13,0,0,0,0,1,1,"swcc",5
"1469",0,231,55,12,0,0,0,0,0,0,"other",3
"921",1816,720,32,13,1,0,0,0,1,1,"other",7
"3337",0,260,30,12,1,2,0,1,1,1,"swcc",17
"1683",64,462,34,17,2,0,0,0,1,1,"mp",7
"3297",1560,115,47,11,0,1,2,1,1,0,"other",4
"387",1791,430,35,16,0,1,0,0,1,1,"mp",5
"385",593,240,28,13,1,0,0,0,1,1,"other",7
"3293",1761,121,49,9,2,0,1,1,1,0,"other",4
"911",494,2099,37,16,2,1,0,0,1,1,"mp",7
"2101",2080,222,27,13,0,0,0,0,1,1,"swcc",7
"3197",2000,220,31,12,1,1,0,1,0,0,"other",9
"3074",1645,180,30,12,1,0,0,0,1,1,"swcc",4
"3096",1182,203,36,16,0,0,0,0,0,0,"swcc",6
"3153",1545,10,29,12,3,0,0,1,0,0,"other",6
"2138",1040,199,21,12,1,0,0,0,1,1,"other",8
"1250",864,120,31,12,2,1,0,0,1,1,"other",6
"3287",2201,60,21,12,0,0,0,1,0,0,"other",6
"2189",1016,604,30,15,0,0,0,0,1,1,"mp",5
"3113",0,83,18,7,4,0,1,1,1,1,"other",5
"3015",0,52,21,12,1,0,0,0,0,0,"mp",5
"2450",0,129,29,11,1,2,0,1,0,0,"swcc",3
"2125",775,340,32,12,0,2,0,1,1,1,"mp",5
"1460",0,340,32,12,3,1,0,0,1,1,"mp",5
"591",456,242,30,14,1,2,0,0,1,1,"mp",9
"1974",1960,383,50,12,0,0,0,0,1,0,"other",11
"326",2046,220,38,12,0,2,0,1,1,1,"other",6
